Day of Date2020,Route1,Measure Names,Measure Values
"June 3, 2020",Anacortes - San Juan Domestic,Percentage Change,-0.497326203
"June 2, 2020",Anacortes - San Juan Domestic,Percentage Change,-0.528534923
"June 1, 2020",Anacortes - San Juan Domestic,Percentage Change,-0.449965963
"May 31, 2020",Anacortes - San Juan Domestic,Percentage Change,-0.575743494
"May 30, 2020",Anacortes - San Juan Domestic,Percentage Change,-0.689260563
"May 29, 2020",Anacortes - San Juan Domestic,Percentage Change,-0.600892534
"May 28, 2020",Anacortes - San Juan Domestic,Percentage Change,-0.485264133
"May 27, 2020",Anacortes - San Juan Domestic,Percentage Change,-0.449125952
"May 26, 2020",Anacortes - San Juan Domestic,Percentage Change,-0.391768293
"May 25, 2020",Anacortes - San Juan Domestic,Percentage Change,-0.649774210
"May 24, 2020",Anacortes - San Juan Domestic,Percentage Change,-0.709608541
"May 23, 2020",Anacortes - San Juan Domestic,Percentage Change,-0.666257900
"May 22, 2020",Anacortes - San Juan Domestic,Percentage Change,-0.597703077
"May 21, 2020",Anacortes - San Juan Domestic,Percentage Change,-0.493048973
"May 20, 2020",Anacortes - San Juan Domestic,Percentage Change,-0.515302067
"May 19, 2020",Anacortes - San Juan Domestic,Percentage Change,-0.565592374
"May 18, 2020",Anacortes - San Juan Domestic,Percentage Change,-0.527571172
"May 17, 2020",Anacortes - San Juan Domestic,Percentage Change,-0.658019400
"May 16, 2020",Anacortes - San Juan Domestic,Percentage Change,-0.727011494
"May 15, 2020",Anacortes - San Juan Domestic,Percentage Change,-0.654464910
"May 14, 2020",Anacortes - San Juan Domestic,Percentage Change,-0.569589702
"May 13, 2020",Anacortes - San Juan Domestic,Percentage Change,-0.576182930
"May 12, 2020",Anacortes - San Juan Domestic,Percentage Change,-0.526663002
"May 11, 2020",Anacortes - San Juan Domestic,Percentage Change,-0.545045045
"May 10, 2020",Anacortes - San Juan Domestic,Percentage Change,-0.614297945
"May 9, 2020",Anacortes - San Juan Domestic,Percentage Change,-0.671332510
"May 8, 2020",Anacortes - San Juan Domestic,Percentage Change,-0.656990915
"May 7, 2020",Anacortes - San Juan Domestic,Percentage Change,-0.581885397
"May 6, 2020",Anacortes - San Juan Domestic,Percentage Change,-0.533937760
"May 5, 2020",Anacortes - San Juan Domestic,Percentage Change,-0.55
"May 4, 2020",Anacortes - San Juan Domestic,Percentage Change,-0.562630480
"May 3, 2020",Anacortes - San Juan Domestic,Percentage Change,-0.707910751
"May 2, 2020",Anacortes - San Juan Domestic,Percentage Change,-0.760561029
"May 1, 2020",Anacortes - San Juan Domestic,Percentage Change,-0.749595116
"April 30, 2020",Anacortes - San Juan Domestic,Percentage Change,-0.612182296
"April 29, 2020",Anacortes - San Juan Domestic,Percentage Change,-0.600103199
"April 28, 2020",Anacortes - San Juan Domestic,Percentage Change,-0.638806772
"April 27, 2020",Anacortes - San Juan Domestic,Percentage Change,-0.624603861
"April 26, 2020",Anacortes - San Juan Domestic,Percentage Change,-0.757139310
"April 25, 2020",Anacortes - San Juan Domestic,Percentage Change,-0.839847194
"April 24, 2020",Anacortes - San Juan Domestic,Percentage Change,-0.8096
"April 23, 2020",Anacortes - San Juan Domestic,Percentage Change,-0.704624160
"April 22, 2020",Anacortes - San Juan Domestic,Percentage Change,-0.714285714
"April 21, 2020",Anacortes - San Juan Domestic,Percentage Change,-0.696256684
"April 20, 2020",Anacortes - San Juan Domestic,Percentage Change,-0.736055068
"April 19, 2020",Anacortes - San Juan Domestic,Percentage Change,-0.758353222
"April 18, 2020",Anacortes - San Juan Domestic,Percentage Change,-0.802603800
"April 17, 2020",Anacortes - San Juan Domestic,Percentage Change,-0.747855392
"April 16, 2020",Anacortes - San Juan Domestic,Percentage Change,-0.680421825
"April 15, 2020",Anacortes - San Juan Domestic,Percentage Change,-0.649104859
"April 14, 2020",Anacortes - San Juan Domestic,Percentage Change,-0.649104859
