County,City,Location Description,Transit Type,Day of Date,Avg. PercentNorm/100
Benton,Richland,Hains Levee Trail,Pedestrian,"June 2, 2020",6%
Benton,Richland,Hains Levee Trail,Pedestrian,"June 1, 2020",40%
Benton,Richland,Hains Levee Trail,Pedestrian,"May 31, 2020",17%
Benton,Richland,Hains Levee Trail,Pedestrian,"May 30, 2020",-62%
Benton,Richland,Hains Levee Trail,Pedestrian,"May 29, 2020",66%
Benton,Richland,Hains Levee Trail,Pedestrian,"May 28, 2020",52%
Benton,Richland,Hains Levee Trail,Pedestrian,"May 26, 2020",68%
Benton,Richland,Hains Levee Trail,Pedestrian,"May 25, 2020",50%
Benton,Richland,Hains Levee Trail,Pedestrian,"May 24, 2020",48%
Benton,Richland,Hains Levee Trail,Pedestrian,"May 23, 2020",-8%
Benton,Richland,Hains Levee Trail,Pedestrian,"May 22, 2020",-14%
Benton,Richland,Hains Levee Trail,Pedestrian,"May 21, 2020",11%
Benton,Richland,Hains Levee Trail,Pedestrian,"May 20, 2020",-5%
Benton,Richland,Hains Levee Trail,Pedestrian,"May 19, 2020",10%
Benton,Richland,Hains Levee Trail,Pedestrian,"May 18, 2020",6%
Benton,Richland,Hains Levee Trail,Pedestrian,"May 17, 2020",-16%
Benton,Richland,Hains Levee Trail,Pedestrian,"May 16, 2020",-55%
Benton,Richland,Hains Levee Trail,Pedestrian,"May 15, 2020",71%
Benton,Richland,Hains Levee Trail,Pedestrian,"May 14, 2020",2%
Benton,Richland,Hains Levee Trail,Pedestrian,"May 13, 2020",26%
Benton,Richland,Hains Levee Trail,Pedestrian,"May 12, 2020",-10%
Benton,Richland,Hains Levee Trail,Pedestrian,"May 11, 2020",-16%
Benton,Richland,Hains Levee Trail,Pedestrian,"May 10, 2020",-23%
Benton,Richland,Hains Levee Trail,Pedestrian,"May 9, 2020",-35%
Benton,Richland,Hains Levee Trail,Pedestrian,"May 8, 2020",79%
Benton,Richland,Hains Levee Trail,Pedestrian,"May 7, 2020",76%
Benton,Richland,Hains Levee Trail,Pedestrian,"May 6, 2020",-16%
Benton,Richland,Hains Levee Trail,Pedestrian,"May 5, 2020",48%
Benton,Richland,Hains Levee Trail,Pedestrian,"May 4, 2020",44%
Benton,Richland,Hains Levee Trail,Pedestrian,"May 3, 2020",-9%
Benton,Richland,Hains Levee Trail,Pedestrian,"May 2, 2020",-42%
Benton,Richland,Hains Levee Trail,Pedestrian,"May 1, 2020",45%
Benton,Richland,Hains Levee Trail,Pedestrian,"April 30, 2020",42%
Benton,Richland,Hains Levee Trail,Pedestrian,"April 29, 2020",39%
Benton,Richland,Hains Levee Trail,Pedestrian,"April 28, 2020",64%
Benton,Richland,Hains Levee Trail,Pedestrian,"April 27, 2020",1%
Benton,Richland,Hains Levee Trail,Pedestrian,"April 26, 2020",60%
Benton,Richland,Hains Levee Trail,Pedestrian,"April 25, 2020",-4%
Benton,Richland,Hains Levee Trail,Pedestrian,"April 24, 2020",28%
Benton,Richland,Hains Levee Trail,Pedestrian,"April 23, 2020",13%
Benton,Richland,Hains Levee Trail,Pedestrian,"April 22, 2020",2%
Benton,Richland,Hains Levee Trail,Pedestrian,"April 21, 2020",67%
Benton,Richland,Hains Levee Trail,Pedestrian,"April 20, 2020",173%
Benton,Richland,Hains Levee Trail,Pedestrian,"April 19, 2020",96%
Benton,Richland,Hains Levee Trail,Pedestrian,"April 18, 2020",35%
Benton,Richland,Hains Levee Trail,Pedestrian,"April 17, 2020",92%
Benton,Richland,Hains Levee Trail,Pedestrian,"April 16, 2020",66%
Benton,Richland,Hains Levee Trail,Pedestrian,"April 15, 2020",-13%
Benton,Richland,Hains Levee Trail,Pedestrian,"April 14, 2020",56%
Benton,Richland,Hains Levee Trail,Pedestrian,"April 13, 2020",119%
Benton,Richland,Hains Levee Trail,Pedestrian,"April 12, 2020",-10%
Benton,Richland,Hains Levee Trail,Pedestrian,"April 11, 2020",-22%
Benton,Richland,Hains Levee Trail,Pedestrian,"April 10, 2020",55%
Benton,Richland,Hains Levee Trail,Pedestrian,"April 9, 2020",92%
Benton,Richland,Hains Levee Trail,Pedestrian,"April 8, 2020",50%
Benton,Richland,Hains Levee Trail,Pedestrian,"April 7, 2020",84%
Benton,Richland,Hains Levee Trail,Pedestrian,"April 6, 2020",51%
Benton,Richland,Hains Levee Trail,Pedestrian,"April 5, 2020",-10%
Benton,Richland,Hains Levee Trail,Pedestrian,"April 4, 2020",-17%
Benton,Richland,Hains Levee Trail,Pedestrian,"April 3, 2020",16%
Benton,Richland,Hains Levee Trail,Pedestrian,"April 2, 2020",25%
Benton,Richland,Hains Levee Trail,Pedestrian,"April 1, 2020",-4%
Benton,Richland,Hains Levee Trail,Pedestrian,"March 31, 2020",2%
Benton,Richland,Hains Levee Trail,Pedestrian,"March 30, 2020",-3%
Benton,Richland,Hains Levee Trail,Pedestrian,"March 29, 2020",-21%
Benton,Richland,Hains Levee Trail,Pedestrian,"March 28, 2020",-5%
Benton,Richland,Hains Levee Trail,Pedestrian,"March 27, 2020",21%
